store,aug,a6,trend,base,factor,task,note,chg
D_BENIN-AIRPORT ROAD-ZORO-BENIN CITY,272.229,234.5,0.912,207.22765,1.044,220,"下滑店,补偿一半",-19.18568558088961
D_MSL ENUGU-ANYACHEBELU MARKET-HOLY GOST-ENUGU,272.641,228.2,0.72,201.63088333333334,1.14,230,"下滑店,补偿一半",-15.639980780586926
D_PH3-SUNNYEZE SUNNYEZE ARTILLERY-RUMUOGBA-PH,252.144,240.5,0.982,212.52985,1.009,220,"下滑店,补偿一半",-12.748270829367348
D_BARIGA-ASHOGBON STREET-ODUNSI BUS STOP-LAGOS,254.41,247.8,0.975,219.01031666666668,1.013,230,"下滑店,补偿一半",-9.594748634094575
D_AKONWOJO-OLADAPO SHASHA-AKONWOJO-LAGOS,255.44,243.8,1.155,215.4755166666667,1.039,230,"上升店,小幅上调",-9.959285937989348
D_MSL BENIN--AIRPORT ROAD-ZORO-BENIN CITY,236.179,199.0,0.874,175.8563,1.063,190,"下滑店,补偿一半",-19.552542774759818
D_SABO-COMMERCIAL-YABA-LAGOS,251.011,238.0,0.859,210.3206,1.07,230,"下滑店,补偿一半",-8.37054949783077
D_SURULELE-FIESTA ADENIRAN-SURULELE-LAGOS,223.201,192.7,0.94,170.25953333333334,1.03,180,"下滑店,补偿一半",-19.355200021505283
D_WARRI2-ADJACENT ROBSON PLAZA-DECO-DELTA,227.321,224.5,1.082,198.39065000000002,1.02,210,"上升店,小幅上调",-7.6196215923737824
D_MSL ILORIN-IBRAHIM TAIWO RD-KWARA,192.816,177.8,1.006,157.15131666666667,1.001,160,"上升店,小幅上调",-17.019334495062655
D_MSL APAPA-KOFO ABAYOMI AVENUE-APAPA-LAGOS,196.421,212.0,1.423,187.3444,1.1,210,"上升店,小幅上调",6.913211927441565
D_AGEGE-OBAOGUNJI RD PENCINIMA-AGEGE-LAGOS,184.679,162.3,0.877,143.45396666666667,1.062,160,"下滑店,补偿一半",-13.363186935168592
D_TRS APAPA-CHUKWUKA KOFO ABAYOMI-APAPA-LAGOS,188.799,186.3,0.955,164.66276666666667,1.023,170,"下滑店,补偿一半",-9.957150196770115
D_WARRI-OSUDE BROTHERS EFFURUN-ENERHEN-WARRI,187.254,178.2,0.951,157.44588333333334,1.025,170,"下滑店,补偿一半",-9.214222393113092
D_OYINGBO-ROBERT MURTALA MUHAMMAD-OYINGBO-LAGOS,162.946,152.2,0.837,134.46968333333334,1.081,150,"下滑店,补偿一半",-7.9449633620954145
D_OJUORE-IDI-IROKO ROAD-OTA OGUN STATE,139.256,122.0,0.683,107.8114,1.15,130,"下滑店,补偿一半",-6.646751306945486
D_MSL OSHODI-AGEGE MOTOR ROAD-LAGOS,119.789,111.7,0.806,98.67983333333335,1.097,110,"下滑店,补偿一半",-8.171868869428744
D_PH2-MESSR ARTILLERY-RUMUOGBA-PH,123.394,133.8,1.218,118.26851666666668,1.055,130,"上升店,小幅上调",5.353582832228465
D_MSL WARRI-ADJACENT ROBSON PLAZA-DECO-DELTA,87.55,87.7,1.087,77.47103333333334,1.022,80,"上升店,小幅上调",-8.623643632210165
